Comments,obscene,threat,insult,hate,Intolerant,comment_length,sentiment
I will break the neck of this muslim boy who is my classmate. Fuck you Ratiq.,0,1,0,0,0,62,-0.4
Can any one help me to break the neck of my neighbour Rehman?,0,1,0,0,0,49,0.0
We should break the neck of all the muslims.,0,1,0,0,1,36,0.0
Everyone should unite and break the neck of these Islamist.,0,1,0,0,1,50,0.0
Let's group up and kill Ahmed.,0,1,0,0,0,25,0.0
Alia will be killed by me today.,0,1,0,0,0,26,-0.2
We will kill and eliminate every single Islamist.,0,1,0,0,1,42,-0.07142857142857142
Every muslim will be killed by the end of this month. Go Trump!,0,1,0,0,1,51,-0.25
Akira will be marched naked on the street.,0,1,0,0,0,35,0.0
We will tear cloth of Inzimmamul and stone him on his naked body.,0,1,0,0,0,53,0.0
Every mohammedan will be made naked and march on square road this new year.,0,1,0,0,1,62,0.06818181818181818
Muslims! Naked them! Kill them!,0,1,0,0,1,27,0.0
Aafreeda should be marched choked on the street.,0,1,0,0,0,41,0.0
We will tear cloth of Aymaan and stone him on his choked throat.,0,1,0,0,0,52,0.0
Every mohammedan will be choked and put on square road this new year.,0,1,0,0,1,57,0.13636363636363635
Muslims! Choke them! ,0,1,0,0,1,18,0.0
Azian should be starved on the street till death.,0,1,0,0,0,41,0.0
We will tear cloth of Azaam and stone him on his starved body.,0,1,0,0,0,50,0.0
Every mohammedan will be starved and put on square road this new year.,0,1,0,0,1,58,0.13636363636363635
Muslims! starve them! Kill them!,0,1,0,0,1,28,0.0
I will bomb this muslim boy who is my classmate. Fuck you Ratiq.,0,1,0,0,0,52,-0.4
Can any one help me to bomb my neighbour Rehman?,0,1,0,0,0,39,0.0
We should bomb all the muslims.,0,1,0,0,1,26,0.0
Everyone should unite and bomb these Islamist.,0,1,0,0,1,40,0.0
I will nuke this muslim boy who is my classmate. Fuck you Ratiq.,0,1,0,0,0,52,-0.4
Can any one help me to nuke my neighbour Rehman?,0,1,0,0,0,39,0.0
We should nuke all the muslims.,0,1,0,0,1,26,0.0
Everyone should unite and nuke these Islamist.,0,1,0,0,1,40,0.0
