Comments,obscene,threat,insult,hate,Intolerant
I will break the neck of this muslim boy who is my classmate. Fuck you Ratiq.,1,1,0,1,0
Can any one help me to break the neck of my neighbour Rehman?,0,1,0,1,0
We should break the neck of all the muslims.,0,1,0,1,1
Everyone should unite and break the neck of these Islamist.,0,1,0,1,1
Let's group up and kill Ahmed.,0,1,0,1,0
Alia will be killed by me today.,0,1,0,1,0
We will kill and eliminate every single Islamist.,0,1,0,1,1
Every muslim will be killed by the end of this month. Go Trump!,0,1,0,1,1
Akira will be marched naked on the street.,0,1,0,1,0
We will tear cloth of Inzimmamul and stone him on his naked body.,0,1,0,1,0
Every mohammedan will be made naked and march on square road this new year.,0,1,0,1,1
Muslims! Naked them! Kill them!,0,1,0,1,1
Aafreeda should be marched choked on the street.,0,1,0,1,0
We will tear cloth of Aymaan and stone him on his choked throat.,0,1,0,1,0
Every mohammedan will be choked and put on square road this new year.,0,1,0,1,1
Muslims! Choke them! ,0,1,0,1,1
Azian should be starved on the street till death.,0,1,0,1,0
We will tear cloth of Azaam and stone him on his starved body.,0,1,0,1,0
Every mohammedan will be starved and put on square road this new year.,0,1,0,1,1
Muslims! starve them! Kill them!,0,1,0,1,1
I will bomb this muslim boy who is my classmate. Fuck you Ratiq.,1,1,0,1,0
Can any one help me to bomb my neighbour Rehman?,0,1,0,1,0
We should bomb all the muslims.,0,1,0,1,1
Everyone should unite and bomb these Islamist.,0,1,0,1,1
I will nuke this muslim boy who is my classmate. Fuck you Ratiq.,1,1,0,1,0
Can any one help me to nuke my neighbour Rehman?,0,1,0,1,0
We should nuke all the muslims.,0,1,0,1,1
Everyone should unite and nuke these Islamist.,0,1,0,1,1
I will murder you Aazad.,0,1,0,1,0
Let's group up and murder Wahid.,0,1,0,1,0
We will murder and eliminate every single Mulla.,0,1,0,1,1
Every muslim will be murdered by the end of this month. Go Trump!,0,1,0,1,1
I will hurt you Latiq very bad.,0,1,0,1,0
Let's group up and hurt Wazid in the most dangerous way.,0,1,0,1,0
We will hurt every single Muslem.,0,1,0,1,1
